ville,cp,population,distance_km,reseau_plus_proche,agence_plus_proche,nb_agences_a_20km
Épinal,88000,32251,2.7,AgenceAuto,epinal,2
Saint-Laurent-du-Var,06700,32172,0.4,TransakAuto,Agence NICE OUEST,7
Pontoise,95000,31970,2.3,TransakAuto,Agence CERGY,7
Bègles,33130,31831,7.4,TransakAuto,Agence CADAUJAC,6
Plaisir,78370,31811,3.1,TransakAuto,Agence LES CLAYES SOUS BOIS,4
Herblay-sur-Seine,95220,31779,4.8,TransakAuto,Agence CONFLANS-SAINTE-HONORINE,8
Vienne,38200,31778,2.9,Simplicicar,vienne,3
Carpentras,84200,31619,16.0,TransakAuto,Agence L&rsquo;ISLE SUR LA SORGUE,1
Mont-de-Marsan,40000,31592,1.4,TransakAuto,Agence MONT DE MARSAN,1
Dreux,28100,31543,0.8,TransakAuto,Agence DREUX,1
Vigneux-sur-Seine,91270,31466,5.1,AgenceAuto,athis-mons,9
Rillieux-la-Pape,69140,31389,1.0,AgenceAuto,lyon-nord,9
Goussainville,95190,31301,13.0,AgenceAuto,la-croix-verte,5
Ris-Orangis,91130,31189,7.7,AgenceAuto,athis-mons,7
L'Haÿ-les-Roses,94240,31188,5.3,TransakAuto,Agence WISSOUS,10
Savigny-le-Temple,77176,31148,3.9,TransakAuto,Agence LIEUSAINT,2
Cambrai,59400,31134,0.5,TransakAuto,Agence CAMBRAI,1
Cachan,94230,31103,6.5,Simplicicar,paris-15,11
Viry-Châtillon,91170,30838,4.6,AgenceAuto,athis-mons,7
Le Chesnay-Rocquencourt,78150,30689,4.5,AgenceAuto,viroflay,8
Chatou,78400,30598,7.0,TransakAuto,Agence SARTROUVILLE,10
Malakoff,92240,30557,3.3,Simplicicar,paris-15,12
La Garenne-Colombes,92250,30197,4.3,Simplicicar,paris-17eme,9
Tournefeuille,31170,30168,6.3,TransakAuto,Agence TOULOUSE OUEST,8
Bourgoin-Jallieu,38300,30151,0.8,TransakAuto,Agence BOURGOIN-JAILLEU,3
Draveil,91210,30098,5.8,AgenceAuto,athis-mons,8
Liévin,62800,30063,3.7,TransakAuto,Agence LENS,5
Villiers-le-Bel,95400,30053,8.0,TransakAuto,Agence ENGHIEN-LES-BAINS,7
Vandœuvre-lès-Nancy,54500,29942,2.4,Simplicicar,nancy,3
Décines-Charpieu,69150,29877,6.1,Simplicicar,st-priest,11
Saint-Cloud,92210,29855,5.2,AgenceAuto,viroflay,11
Villemomble,93250,29795,0.4,TransakAuto,Agence LE RAINCY,9
Guyancourt,78280,29778,7.6,AgenceAuto,viroflay,6
Orange,84100,29706,1.7,TransakAuto,Agence ORANGE,2
Fresnes,94260,29528,2.9,TransakAuto,Agence WISSOUS,9
Saint-Étienne-du-Rouvray,76800,29518,8.9,TransakAuto,Agence ELBEUF,2
Ermont,95120,29489,4.6,TransakAuto,Agence ENGHIEN-LES-BAINS,8
Clichy-sous-Bois,93390,29354,3.1,TransakAuto,Agence LE RAINCY,8
Vallauris,06220,29259,3.7,Simplicicar,cannes,7
Périgueux,24000,29055,3.8,TransakAuto,Agence PERIGUEUX,1
Sotteville-lès-Rouen,76300,29003,7.2,TransakAuto,Agence ROUEN,2
Bois-Colombes,92270,28909,4.1,Simplicicar,paris-17eme,9
Le Plessis-Robinson,92350,28848,7.2,AgenceAuto,viroflay,10
Charenton-le-Pont,94220,28830,4.0,TransakAuto,Agence VINCENNES,12
Maubeuge,59600,28767,0.7,TransakAuto,Agence MAUBEUGE,1
Montfermeil,93370,28703,4.3,TransakAuto,Agence LE RAINCY,5
Vanves,92170,28622,2.9,Simplicicar,paris-15,12
Saint-Sébastien-sur-Loire,44230,28596,11.1,AgenceAuto,nantes-sud-est,2
Orvault,44700,28534,5.8,TransakAuto,Agence NANTES NORD,2
Dieppe,76200,28496,0.5,TransakAuto,Agence DIEPPE,1
Soissons,02200,28046,2.4,Simplicicar,soissons,1
